IATA,ICAO,Name,Country,Active
2Q,SNC,Air Cargo Carriers,United States,Y
,SND,Air Samarkand,Uzbekistan,N
V7,SNG,Air Senegal International,Senegal,N
,SNY,Air Sandy,Canada,N
SW,NMB,Air Namibia,Namibia,Y
,NSK,Air Intersalonika,Greece,N
,NTL,Air Anatolia,Turkey,N
,SGA,Air Saigon,Vietnam,N
,AFW,Afrique Regional Airways,Ivory Coast,N
,AFX,Airfreight Express,United Kingdom,N
,AFY,Africa Chartered Services,Nigeria,N
,AFZ,Africa Freight Services,Zambia,N
,AGA,Aeronaves Del Centro,Venezuela,N
G8,AGB,Air Service Gabon,Gabon,N
,AGC,Arab Agricultural Aviation Company,Egypt,N
,AGF,Atlantic Gulf Airlines,United States,N
5D,SLI,Aerolitoral,Mexico,Y
,AGG,Algoma Airways,Canada,N
,AGH,Altagna,France,N
,AGO,Angola Air Charter,Angola,N
,AGP,AERFI Group,Ireland,N
,AGQ,Aerogala,Chile,N
1A,AGT,Amadeus Global Travel Distribution,Spain,N
,AGU,Angara Airlines,Russia,N
7T,AGV,Air Glaciers,Switzerland,Y
,AGW,Aero Gambia,Gambia,N
,AGX,Aviogenex,Serbia,Y
,BLR,Atlantic Coast Airlines,United States,N
,BLZ,Aero Barloz,Mexico,N
PL,PLI,Aeroper,Peru,Y
8A,BMM,Atlas Blue,Morocco,Y
,BNB,Aero Banobras,Mexico,N
,AGY,Aero Flight Service,United States,N
,AGZ,Agrolet-Mci,Slovakia,N
GD,AHA,Air Alpha Greenland,Denmark,N
,AHC,Azal Avia Cargo,Azerbaijan,N
,AHE,Airport Helicopter Basel,AIRPORT HELICOPTER,N
,CJE,Aeroservices Corporate,France,N
,AHF,Aspen Helicopters,United States,N
,AHG,Aerochago Airlines,Dominican Republic,N
,AHH,Airplanes Holdings,Ireland,N
LD,AHK,Air Hong Kong,Hong Kong,N
,AHP,Aerochiapas,Mexico,N
,AHR,Air Adriatic,Croatia,N
,AHS,Air Viggi San Raffaele,Italy,N
,AHU,ABC Air Hungary,Hungary,N
HT,AHW,Aeromist-Kharkiv,Ukraine,N
J2,AHY,Azerbaijan Airlines,Azerbaijan,Y
U3,AIA,Avies,Estonia,Y
AP,AIB,Airbus Industrie,France,N
,AIH,Alpine Air Chile,Chile,N
,AII,Air Integra,Canada,N
,AIJ,ABC Aerolineas,Mexico,N
,AIK,African Airlines International Limited,Kenya,N
,AIN,African International Airways,Swaziland,N
5A,AIP,Alpine Air Express,United States,N
,AIU,Alicante Internacional Airlines,Spain,N
,ABP,Aba Air,Czech Republic,N
ED,ABQ,Airblue,Pakistan,Y
,THM,Airmark Aviation,Thailand,N
,AIR,Airlift International,United States,Y
,AIT,Airest,Estonia,N
,BFF,Air Baffin,Canada,N
,BDM,Air Bandama,Ivory Coast,N
AB,BER,Air Berlin,Germany,Y
,ABT,Air Brousse,Canada,N
AG,ABR,Air Contractors,Ireland,N
,AIL,Air Illinois,United States,N
AI,AIC,Air India Limited,India,Y
,AIG,Air Inter Gabon,Gabon,N
ZB,BUB,Air Bourbon,Reunion,Y
CC,ABD,Air Atlanta Icelandic,Iceland,Y
,AIE,Air Inuit,Canada,N
,AIS,Air Sureste,Spain,N
RB,SBK,Air Srpska,Bosnia and Herzegovina,N
TN,THT,Air Tahiti Nui,France,Y
,AIV,Airvias S/A Linhas Aereas,Brazil,N
W4,BES,Aero Services Executive,France,N
,AIW,Atlantic Island Airways,Canada,N
,AIX,Aircruising Australia,Australia,N
,AIY,Aircrew Check and Training Australia,Australia,N
IZ,AIZ,Arkia Israel Airlines,Israel,Y
,AJA,A J Services,United Kingdom,N
,AJB,Aero JBR,Mexico,N
,AJE,Aero Jet Express,Mexico,N
,AJF,Avia Consult Flugbetriebs,Austria,N
,AJI,Ameristar Jet Charter,United States,N
,AJJ,A2 Jet Leasing,United States,N
,AJK,Allied Air,Nigeria,N
JM,AJM,Air Jamaica,Jamaica,Y
AP,ADH,Air One,Italy,Y
S2,RSH,Air Sahara,India,Y
KM,AMC,Air Malta,Malta,Y
,AJO,Aeroejecutivo,Mexico,N
,AJP,Aero Jets Corporativos,Mexico,N
,AJS,Aeroejecutivos Colombia,Colombia,N
M6,AJT,Amerijet International,United States,N
,AJU,Air Jetsul,Portugal,N
,AJV,ANA & JP Express,Japan,N
,AJW,Alpha Jet International,United States,N
NQ,AJX,Air Japan,Japan,Y
,AJY,Ajet,Cyprus,N
,AKA,Air Korea Co. Ltd.,Republic of Korea,Y
,LIV,Air Livonia,Estonia,N
,ABL,Air BC,Canada,N
,ABN,Air Fret Senegal,Senegal,N
,LJA,Air Jamahiriya Company,Libya,N
,AKB,Aktjubavia,Kazakhstan,N
,AKC,Arca Aerovias Colombianas Ltda.,Colombia,N
,AKF,Anikay Air Company,Kyrgyzstan,N
,AKH,Akhal,Turkmenistan,N
,MNI,Aeromilenio,Mexico,N
,AKK,Aklak Air,Canada,N
4A,AKL,Air Kiribati,Kiribati,Y
,AKN,Alkan Air,Canada,N
,AKW,Angkor Airways,Cambodia,N
EH,AKX,Air Nippon Network Co. Ltd.,Japan,N
,AKZ,AK Navigator LLC,Kazakhstan,N
,ALB,Aero Albatros,Mexico,N
,ALD,Albion Aviation,United Kingdom,N
,ALE,Aeroalas Colombia,Colombia,N
,ALF,Allied Command Europe (Mobile Force),Belgium,N
,BTS,Aerotaxis Albatros,Mexico,N
,FYS,American Flyers,United States,N
,DFA,Aero Coach Aviation,United States,N
,CAA,Atlantic Southeast Airlines,United States,N
,BVR,ACM Air Charter,Germany,N
,ALG,Air Logistics,United States,N
,ALL,Aerovallarta,Mexico,N
,ALM,Air ALM,Netherlands Antilles,N
,ALN,Air Lincoln,United States,N
HP,AWE,America West Airlines,United States,Y
ZW,AWI,Air Wisconsin,United States,Y
,TNO,Aerotransporte de Carga Union,Mexico,N
,TND,Aero Taxis Cessna,Mexico,N
,TMP,Arizona Express Airlines,United States,N
U9,TAK,Tatarstan Airlines,Russia,Y
,ALO,Allegheny Commuter Airlines,United States,Y
,ALP,Alpliner AG,Switzerland,N
,ALQ,Altair Aviation (1986),Canada,N
,ALU,Air Luxor STP,Sao Tome and Principe,N
,ALV,Alas de Venezuela,Venezuela,N
,ALW,Alas Nacionales,ALNACIONAL,N
,ALY,Alyeska Air Service,United States,N
,ALZ,Alta Flights (Charters) Ltd.,Canada,N
,RSI,Air Sunshine,United States,Y
,AMA,ATMA,Kazakhstan,N
,AMD,Aerolineas Medellin,Colombia,N
,AMF,Ameriflight,United States,N
VD,,Air Libert,France,Y
TT,KLA,Air Lithuania,Lithuania,N
,AMG,Air Minas Linhas A,Brazil,N
,AMH,Alan Mann Helicopters Ltd.,United Kingdom,N
,AMI,Air Maldives,Maldives,N
,AMJ,Aviation Amos,Canada,N
,AMK,Amerer Air,Austria,N
QM,AML,Air Malawi,Malawi,Y
,AMM,Aeroputul International Marculesti,Moldova,N
,AMN,Air Montenegro,Montenegro,N
,AMO,Air Montreal (Air Holdings Inc.),Canada,N
,AMP,Aero Transporte S.A. (ATSA),Peru,N
,AMQ,Aeromedicare Ltd.,United Kingdom,N
BM,,Air Sicilia,Italy,Y
,AMR,Air Specialties Corporation,United States,N
,AMS,Air Muskoka,Canada,N
,AMT,ATA Airlines,United States,Y
NX,AMU,Air Macau,Macao,Y
,AMV,AMC Airlines,Egypt,Y
ZV,AMW,Air Midwest,United States,N
HM,SEY,Air Seychelles,Seychelles,Y
,SFB,Air Sofia,Bulgaria,N
AM,AMX,AeroMéxico,Mexico,Y
,AMY,Air Ambar,Dominican Republic,N
,AMZ,Amiya Airline,Nigeria,N
NH,ANA,All Nippon Airways,Japan,Y
,ANB,Air Navigation And Trading Co. Ltd.,United Kingdom,N
,ANC,Anglo Cargo,United Kingdom,N
YW,ANE,Air Nostrum,Spain,Y
PX,ANG,Air Niugini,Papua New Guinea,Y
G9,ABY,Air Arabia,United Arab Emirates,Y
AC,ACA,Air Canada,Canada,Y
,BRP,Airport Bratsk,Russia,N
,BSB,Air Wings,Moldova,N
BT,BTI,Air Baltic,Latvia,Y
,ANH,Alajnihah for Air Transport,Libya,N
,ANI,Air Atlantic (Nig) Limited,Nigeria,N
EL,ANK,Air Nippon,Japan,Y
,ANM,Antares Airtransport,ANTARES,N
TL,ANO,Airnorth,Australia,Y
,ANQ,Aerol,Colombia,N
,ANS,Andes Lineas Aereas,Argentina,N
4N,ANT,Air North Charter - Canada,Canada,Y
,ANV,Air Nevada,United States,N
IW,AOM,AOM French Airlines,France,N
,ANW,Aviacion Del Noroeste,AVINOR,N
NZ,ANZ,Air New Zealand,New Zealand,Y
,SAP,Avia Jaynar,Kazakhstan,N
,EMS,Aero Servicios Empresariales,Mexico,N
,AOA,Alcon Servicios Aereos,ALCON,N
J6,AOC,AVCOM,Russia,N
,AOD,Aero Vodochody,Czech Republic,N
,AOE,Air One Executive,Italy,N
,AOF,Atair Pty Ltd.,South Africa,N
2D,AOG,Aero VIP,Argentina,N
,MUN,Aeromundo Ejecutivo,Mexico,N
,MUR,Aerolinea Muri,Mexico,N
,AOI,Astoria,ASTORIA,N
,NRO,Aero Rent JSC,Russia,N
,NRP,Aeronord-Grup,Moldova,N
,AOK,Aeroatlantico Colombia,Colombia,N
,AOL,Angkor Airlines,Cambodia,N
,AON,Aero Entreprise,France,N
,AOO,As,COMPANY AS,N
,AOP,Aeropiloto,Portugal,N
,VIV,Aeroenlaces Nacionales,Mexico,N
,VIZ,Aerovis Airlines,Ukraine,N
,VJE,Avjet International (FZE),United Arab Emirates,N
,VGF,Aerovista Gulf Express,United Arab Emirates,N
6V,VGA,Air Vegas,United States,N
,VER,Almaver,Mexico,N
,AOR,Afro International Ent. Limited,Nigeria,N
XM,SMX,Alitalia Express,Italy,Y
OE,AOT,Asia Overnight Express,Philippines,N
,AOU,Air Tractor,Croatia,N
,AOV,Aero Vision,France,N
,AOX,Aerotaxi Del Valle,Colombia,N
,APA,Air Park Aviation Ltd.,Canada,N
,APC,Airpac Airlines,AIRPAC,N
,SVM,Aeroservicios Monterrey,Mexico,N
,APF,Amapola Flyg AB,Sweden,N
,APG,Air People International,Thailand,N
,APH,Alpha Aviation,AIRFLIGHT,N
,API,ASA Pesada,ASA PESADA,N
,APJ,Air Print,AIR PRINT,N
,BJK,Atlantic Airlines,United States,N
,PET,Aerotransporte Petrolero,Colombia,N
GV,ARF,Aero Flight,Germany,Y
,BJT,ACM Aviation,United States,N
,BKL,Aircompany Barcol,Russia,N
,BLA,All Charter Limited,United Kingdom,N
,APL,Appalachian Flying Service,APPALACHIAN,N
,APM,Airpac,ALASKA PACIFIC,N
,APO,Aeropro,Canada,N
,APP,Aerolineas Pacifico Atlantico,AEROPERLAS,N
,APQ,Aspen Aviation,United States,N
,APU,Aeropuma,AEROPUMA,N
,APV,Air Plan International,Democratic Republic of the Congo,N
JW,APW,Arrow Air,United States,Y
,APX,Apex Air Cargo,United States,N
,APY,APA Internacional,Dominican Republic,N
,AQA,Aeroatlas,ATCO,N
,AQL,Aquila Air Ltd.,Canada,N
,AQN,Air Queensland,Australia,N
,AQO,Aluminum Company Of America,United States,N
,AQT,Aviones de Renta de Quintana Roo,AVIOQUINTANA,N
,AQU,AirQuarius Aviation,South Africa,N
,AQZ,Aerodyne Charter Company,United States,N
W3,ARA,Arik Air,Nigeria,N
,ARB,Avia Air N.V.,Aruba,N
,ARC,Air Routing International Corp.,United States,N
2B,ARD,Aerocondor,Portugal,Y
4C,ARE,Aires,S.A.,Y
AR,ARG,Aerolineas Argentinas,Argentina,Y
,ARH,Arrowhead Airways,United States,N
,ARI,Aero Vics,Mexico,N
,ARJ,Aerojet de Costa Rica,,N
,SUN,Antillana De Navegacion Aerea,Dominican Republic,N
,SUO,Aeroservicios De San Luis,Mexico,N
,SUP,Aerosuper,Mexico,N
,ARK,Aero Link Air Services S.L.,Spain,N
,ARL,Airlec - Air Aquitaine Transport,France,N
,ARM,Aeromarket Express,Spain,N
,ARO,Arrow Aviation Ltd.,Canada,N
,ARP,RPA-Aviataxi Ltd.,Russia,N
,KLD,Air Klaipeda,Lithuania,N
,ARQ,Armstrong Air,ARMSTRONG,N
QN,ARR,Air Armenia,Armenia,N
,ARS,Aeromet Servicios,Chile,N
,ART,Aerotal Aerolineas Territoriales de Colombia Ltda,Colombia,N
,ARV,Aravco Ltd.,United Kingdom,N
,ARW,Aria,France,N
,ARX,Air Xpress,AIREX,N
,OST,Airline Alania,Russia,N
,HTT,Air Tchad,Chad,N
,HUC,Aerloineas de Techuacan,Mexico,N
,HUT,Aerotransportes Huitzilin,Mexico,N
,HUY,Aero Transportes Del Humaya,Mexico,N
,ARY,Argosy Airways,United States,N
,ARZ,Air Resorts,United States,N
AS,ASA,Alaska Airlines,ALASKA,Y
,ASB,Air-Spray 1967 Ltd.,Canada,N
,ASC,Air Star Corporation,Canada,N
4D,ASD,Air Sinai,Egypt,Y
PL,ASE,Airstars,Russia,N
,ASF,Air Schefferville,SCHEFF,N
,ASG,African Star Airways (PTY) Ltd.,South Africa,N
,ASI,Aerosun International,AEROSUN,N
,ASJ,Air Satellite,Canada,N
,ASM,Awesome Flight Services (PTY) Ltd.,South Africa,N
,ASN,Air and Sea Transport,Russia,N
,ASO,Aero Slovakia,Slovakia,N
,ASP,Airsprint,Canada,N
EV,ASQ,Atlantic Southeast Airlines,United States,Y
,ASR,All Star Airlines,ALL STAR,N
,ASS,Air Class,AIR CLASS,N
,AST,Aerlineas Del Oeste,Mexico,N
,NRE,Aviones Are,Mexico,N
,NPL,Air Nepal International,Nepal,N
,NPR,Air Napier,New Zealand,N
,WAM,Air Taxi & Cargo,Sudan,N
,WAP,Arrow Panama,Panama,N
,ASV,Astravia-Bissau Air Transports Ltd.,Guinea-Bissau,N
OB,ASZ,Astrakhan Airlines,Russia,Y
,ATA,Air Transport Association,United States,N
,ATB,Atlantair Ltd.,Canada,N
TC,ATC,Air Tanzania,Tanzania,Y
,ATD,Aerotours Dominicana,Dominican Republic,N
,ATE,Atlantis Transportation Services,ATLANTIS CANADA,N
,ATG,Aerotrans Airline,Kazakhstan,N
,XAC,Air Charter World,United States,N
2J,VBW,Air Burkina,Burkina Faso,Y
,ATH,Air Travel Corp.,United States,N
HC,ATI,Aero-Tropics Air Services,Australia,N
,ATJ,Air Traffic GmbH,Germany,N
,ATK,AeroTACA,Colombia,N
,ATL,Aerocentral,Mexico,N
FO,ATM,Airlines Of Tasmania,Australia,Y
PJ,SPM,Air Saint Pierre,France,Y
8C,ATN,Air Transport International,United States,N
,ATP,ASTRAL Colombia - Aerotransportes Especiales Ltda.,Colombia,N
,ATQ,Air Transport Schiphol,Netherlands,N
,FEO,Aeroferinco,Mexico,N
,FES,Aero Taxis Y Servicios Alfe,Mexico,N
,FFA,Avialesookhrana,Russia,N
,FFB,Africair Service,Senegal,N
,ATR,Atlas Airlines,United States,N
,ATS,Air Transport Service,Democratic Republic of the Congo,N
,ATT,Aer Turas,Ireland,N
,ATU,Atlant Aerobatics Ltd.,Hungary,N
